run_id,t,nS,nR
0,0,50,1
0,0.05766,47,1
0,0.12921,48,1
0,0.17588,48,1
0,0.23522,45,1
0,0.29909,42,1
0,0.37366,43,1
0,0.49626,39,1
0,0.52824,40,1
0,0.57208,37,1
0,0.6839,34,1
0,0.7366,34,1
0,0.77722,33,1
0,0.8883,34,1
0,0.93543,35,1
0,1.00845,35,1
0,1.09304,32,1
0,1.161,33,1
0,1.1963,32,1
0,1.25872,28,1
0,1.41562,29,1
0,1.45869,28,1
0,1.52721,25,1
0,1.60455,24,1
0,1.73451,18,1
0,1.80574,18,2
0,1.89901,15,2
0,1.94712,10,2
0,2.23446,10,2
0,2.48922,9,2
0,2.73064,10,4
0,2.88855,11,4
0,3.29961,11,4
0,3.47033,8,4
0,3.71991,7,4
0,4.06603,2,4
0,5.02516,3,5
0,5.57248,3,8
0,5.82467,1,9
0,6.57288,2,7
0,7.09305,0,5
0,9.93321,0,6
0,12.23373,0,7
0,13.58587,0,6
0,16.36763,0,9
0,18.09905,0,9
0,19.65686,0,10
0,20.60239,0,11
0,21.05972,0,14
0,21.35622,0,14
0,21.94499,0,15
0,22.39787,0,16
0,22.69215,0,19
0,23.12078,0,21
0,23.57291,0,26
0,23.76026,0,27
0,24.0716,0,28
0,24.61601,0,34
0,25.06345,0,39
0,25.40072,0,40
0,25.58913,0,41
0,25.95759,0,45
0,26.2888,0,48
0,26.49556,0,51
0,26.73869,0,54
0,26.99729,0,54
0,27.12108,0,59
0,27.31757,0,64
0,27.5051,0,65
0,27.62139,0,64
0,27.88495,0,62
0,27.99933,0,63
0,28.1468,0,64
0,28.31377,0,63
0,28.58301,0,63
0,28.72936,0,66
0,28.94256,0,67
0,29.00087,0,68
0,29.09931,0,68
0,29.25473,0,71
0,29.36833,0,76
0,29.62631,0,77
0,29.87177,0,79
0,29.95738,0,82
0,30.15181,0,87
0,30.32285,0,92
0,30.48149,0,94
0,30.57075,0,97
0,30.62066,0,100
0,30.70563,0,101
0,30.86884,0,104
0,30.98039,0,104
0,31.10498,0,107
0,31.1531,0,110
0,31.28427,0,113
0,31.35759,0,117
0,31.39083,0,120
0,31.44663,0,119
0,31.48156,0,122
0,31.62714,0,124
0,31.71567,0,127
0,31.72421,0,130
0,31.77207,0,131
0,31.87991,0,135
0,31.90224,0,138
0,31.95127,0,143
0,32.00568,0,142
0,32.08212,0,144
0,32.13661,0,147
0,32.18554,0,152
0,32.21463,0,151
0,32.25085,0,152
0,32.36033,0,152
0,32.37773,0,155
0,32.46669,0,158
0,32.55292,0,159
0,32.61504,0,159
0,32.66818,0,162
0,32.70168,0,167
0,32.71092,0,168
0,32.77988,0,174
0,32.89039,0,177
0,32.9238,0,178
0,32.98999,0,183
0,33.06244,0,189
0,33.14135,0,186
0,33.21084,0,185
0,33.24669,0,188
0,33.3204,0,192
0,33.33592,0,197
0,33.36374,0,200
0,33.38965,0,203
0,33.43594,0,206
0,33.4702,0,212
0,33.53429,0,213
0,33.56854,0,214
0,33.64512,0,215
0,33.72377,0,215
0,33.75194,0,220
0,33.79099,0,221
0,33.83239,0,226
0,33.84999,0,226
0,33.87452,0,231
0,33.91242,0,236
0,33.96475,0,239
0,33.9968,0,239
0,34.04281,0,242
0,34.08595,0,247
0,34.11721,0,252
0,34.14193,0,254
0,34.15506,0,259
0,34.20794,0,262
0,34.22247,0,265
0,34.27548,0,268
0,34.33663,0,272
0,34.35681,0,273
0,34.39903,0,276
0,34.41394,0,277
0,34.49155,0,277
0,34.50539,0,280
0,34.53839,0,277
0,34.58943,0,276
0,34.64115,0,280
0,34.65726,0,285
0,34.70988,0,288
0,34.73623,0,291
0,34.77259,0,295
0,34.80674,0,298
0,34.85118,0,301
0,34.88918,0,304
0,34.92594,0,302
0,34.9634,0,303
0,35.00437,0,306
0,35.03203,0,307
0,35.07403,0,308
0,35.10286,0,308
0,35.12719,0,313
0,35.1485,0,314
0,35.16301,0,317
0,35.19961,0,319
0,35.22463,0,320
0,35.27071,0,321
0,35.28584,0,324
0,35.30411,0,328
0,35.31812,0,333
0,35.33587,0,334
0,35.36207,0,339
0,35.38854,0,339
0,35.41869,0,344
0,35.45951,0,343
0,35.48929,0,344
0,35.51698,0,350
0,35.56022,0,351
0,35.58938,0,354
0,35.61101,0,357
0,35.64018,0,361
0,35.67036,0,364
0,35.69197,0,369
0,35.73249,0,370
0,35.76179,0,369
0,35.79198,0,371
0,35.80631,0,376
0,35.83307,0,375
0,35.85036,0,378
0,35.87828,0,380
0,35.8962,0,381
0,35.92671,0,382
0,35.94329,0,381
0,35.97011,0,383
0,35.99565,0,384
0,36.02086,0,385
0,36.03824,0,384
0,36.06336,0,386
0,36.10768,0,391
0,36.1234,0,394
0,36.15261,0,393
0,36.16512,0,397
0,36.18989,0,402
0,36.20301,0,407
0,36.22432,0,412
0,36.26762,0,417
0,36.29401,0,421
0,36.30668,0,424
0,36.32661,0,429
0,36.35094,0,434
0,36.36046,0,436
0,36.39759,0,441
0,36.4118,0,440
0,36.42513,0,441
0,36.44396,0,447
0,36.45766,0,452
0,36.48256,0,455
0,36.50914,0,454
0,36.52,0,458
0,36.54617,0,459
0,36.55668,0,462
0,36.57273,0,465
0,36.59695,0,463
0,36.61092,0,464
0,36.61869,0,463
0,36.64029,0,464
0,36.66527,0,467
0,36.69805,0,465
0,36.7121,0,466
0,36.74069,0,467
0,36.76916,0,472
0,36.78929,0,474
0,36.816,0,477
0,36.83679,0,478
0,36.88966,0,483
0,36.90566,0,487
0,36.92504,0,486
0,36.94862,0,489
0,36.96852,0,494
0,36.98805,0,496
0,37.00546,0,501
0,37.02339,0,504
0,37.05482,0,509
0,37.08344,0,511
0,37.11096,0,514
0,37.1377,0,515
0,37.16648,0,518
0,37.17608,0,521
0,37.18866,0,525
0,37.20762,0,526
0,37.22388,0,531
